dev_id,active_time,uptime,collisions
eksU,2.96,40.5,26
jfGE,0.01,40.55,1
z14n,0.86,39.96,10
Khm7,0.03,40.44,15
sC9r,3.17,40.58,10
bpw5,1.16,40.28,15
Q1Ty,0.15,40.36,20
xvVS,1.04,40.56,12
1RxG,0.14,38.8,4
aCqK,0.05,40.47,16
wQa4,0.5,40.47,7
rerN,1.04,40.58,11
tjii,0.48,39.81,4
VtLc,0.23,40.48,7
iAtq,1.62,39.15,17
QkuL,0.93,39.78,17
Upki,0.44,38.87,11
Qikp,0.48,40.51,16
mgAN,2.83,38.81,9
UJFg,0.01,40.56,17
FwLH,0.76,40.48,11
ualX,0.4,39.03,23
tOZE,1.46,38.94,21
Rcyg,0.66,38.78,7
agnN,0.13,39.91,24
I4t0,2.66,39.61,11
YtqG,0.15,40.57,12
lY45,0.23,38.77,11
XiaC,0.49,40.49,24
803f,0.04,40.53,6
HfOR,0.59,39.73,11
tQaa,0.42,38.84,9
3mvt,0.0,39.38,6
oVtg,4.78,40.56,25
pF5e,0.01,40.31,2
PirC,0.12,39.73,6
