id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
5684,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:45.845,866900000,12,15,901,4/5,125000,111115,jdgJ
5685,"","[{""sf"":8,""power"":6,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:45.988,866900000,12,15,901,4/5,125000,111116,Q2xb
5686,"","[{""sf"":7,""power"":10,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:46.025,866900000,12,15,901,4/5,125000,111118,R6RD
5687,"","[{""sf"":7,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:46.052,866900000,12,15,901,4/5,125000,111113,vggs
5688,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:57.386,866900000,12,14,901,4/5,125000,111113,mqiE
5689,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:57.438,866900000,12,15,901,4/5,125000,111116,CAI4
5690,"","[{""sf"":7,""power"":12,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:03:59.013,866900000,12,15,1032,4/5,125000,111112,Z9Sf
5691,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:59.296,866900000,12,15,901,4/5,125000,111111,Z9Sf
5692,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:03:59.319,866900000,12,15,901,4/5,125000,111117,xKUD
5693,"","[{""sf"":9,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:04:00.469,866900000,12,14,901,4/5,125000,111119,MXgK
5694,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:04:11.637,866900000,12,14,1032,4/5,125000,111114,lBKr
5695,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:04:21.943,866900000,12,14,901,4/5,125000,111113,lBKr
5696,"",[],34509,t,f,t,2020-04-15 00:04:24.266,866900000,12,15,901,4/5,125000,111116,E0HZ
5697,"",[],34378,t,f,t,2020-04-15 00:04:24.686,866900000,12,15,1032,4/5,125000,111120,Swcg
5698,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:04:26.129,866900000,12,14,901,4/5,125000,111112,lBKr
5699,"","[{""sf"":7,""power"":8,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:04:26.932,866900000,12,14,901,4/5,125000,111116,PAQ2
5700,"","[{""sf"":12,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-15 00:04:27.24,866900000,12,15,1032,4/5,125000,111112,U58P
5701,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:04:28.191,866900000,12,15,901,4/5,125000,111114,1eX2
5702,"",[],34509,t,f,t,2020-04-15 00:04:28.841,866900000,12,15,901,4/5,125000,111115,TW88
5703,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-15 00:04:40.951,866900000,12,14,901,4/5,125000,111113,STDA
