id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
85,MTM5LDEwMA==,7.53,-113.7,35954,t,2020-05-03 20:51:36.03,1,866100000,7,6,46,4/5,125000,0,1,111113,Q5P4
86,OTAsMTAw,9.96,-59.3,35960,t,2020-05-03 20:51:36.568,1,866100000,7,6,40,4/5,125000,0,1,111114,uF4V
87,NzIsMTAw,7.77,-90.9,35929,t,2020-05-03 20:51:36.772,1,866100000,8,15,71,4/5,125000,1,1,111112,ImUx
88,MTQ3LDEwMA==,9.87,-103.3,34968,t,2020-05-03 20:51:41.109,1,866900000,12,15,1032,4/5,125000,0,2,111113,HNvh
89,MTA3LDEwMA==,7.05,-86.7,35954,t,2020-05-03 20:51:41.572,1,866100000,7,6,46,4/5,125000,0,1,111114,xTlU
90,NjIsMTAw,10.31,-83.4,35872,t,2020-05-03 20:51:42.782,1,866100000,9,15,128,4/5,125000,1,1,111112,HSHm
91,MTQ0LDEwMA==,10.95,-110,35954,t,2020-05-03 20:51:46.579,1,866100000,7,6,46,4/5,125000,0,1,111114,PW0D
92,OTYsMTAw,11.33,-112.3,35960,t,2020-05-03 20:51:46.675,1,866100000,7,6,40,4/5,125000,0,1,111113,Kp3P
93,OTEsMTAw,11.15,-106.7,35872,t,2020-05-03 20:51:48.358,1,866100000,9,15,128,4/5,125000,0,1,111112,91UD
94,ODIsMTAw,7.89,-94.6,35960,t,2020-05-03 20:51:52.153,1,866100000,7,6,40,4/5,125000,0,1,111114,Zr1h
95,MTEwLDEwMA==,9.07,-41.9,35918,t,2020-05-03 20:51:52.267,1,866100000,8,5,82,4/5,125000,0,1,111113,mNRb
96,MTMyLDEwMA==,10.63,-73.3,35734,t,2020-05-03 20:51:53.365,1,866100000,10,15,266,4/5,125000,0,1,111112,wWwR
97,OTcsMTAw,10.55,-38.2,35960,t,2020-05-03 20:51:57.161,1,866100000,7,6,40,4/5,125000,0,1,111114,1p4N
98,NjEsMTAw,8.52,-99.6,35929,t,2020-05-03 20:51:57.264,1,866100000,8,5,71,4/5,125000,0,1,111113,FPci
99,MTExLDEwMA==,9.72,-48.8,35734,t,2020-05-03 20:51:58.949,1,866100000,10,15,266,4/5,125000,0,1,111112,z56q
100,NjYsMTAw,10.45,-82.1,35960,t,2020-05-03 20:52:02.174,1,866100000,7,6,40,4/5,125000,0,1,111114,92y9
101,NTgsMTAw,6.59,-60.6,35929,t,2020-05-03 20:52:02.269,1,866100000,8,5,71,4/5,125000,0,1,111113,Nvls
102,MTQ4LDEwMA==,7.92,-56.2,34968,t,2020-05-03 20:52:04.018,1,866900000,12,15,1032,4/5,125000,0,2,111112,tWeT
103,OTQsMTAw,8.83,-36.7,35929,t,2020-05-03 20:52:07.178,1,866100000,8,5,71,4/5,125000,0,1,111114,hsz4
104,NjAsMTAw,6.62,-97.3,35929,t,2020-05-03 20:52:07.274,1,866100000,8,5,71,4/5,125000,0,1,111113,CzAr
105,NjksMTAw,11.03,-107.3,35505,t,2020-05-03 20:52:09.589,1,866100000,11,15,495,4/5,125000,0,1,111112,tXqi
106,MTAwLDEwMA==,7.11,-107.7,35918,t,2020-05-03 20:52:12.185,1,866100000,8,5,82,4/5,125000,0,1,111114,zJ0U
107,MTE1LDEwMA==,8.23,-43.3,35918,t,2020-05-03 20:52:12.285,1,866100000,8,5,82,4/5,125000,0,1,111113,RRLB
108,NTUsMTAw,9.08,-61.7,35099,t,2020-05-03 20:52:15.099,1,866900000,12,15,901,4/5,125000,0,2,111112,s5Mv
109,MTI4LDEwMA==,9.93,-109,35918,t,2020-05-03 20:52:17.76,1,866100000,8,5,82,4/5,125000,0,1,111114,g3qf
110,ODYsMTAw,10.24,-80.2,35929,t,2020-05-03 20:52:17.867,1,866100000,8,5,71,4/5,125000,0,1,111113,tAoV
111,MTMxLDEwMA==,10.23,-90.6,35432,t,2020-05-03 20:52:20.666,1,866100000,11,15,568,4/5,125000,0,1,111112,uW80
112,MTI1LDEwMA==,8.38,-70,35954,t,2020-05-03 20:52:22.875,1,866100000,7,5,46,4/5,125000,0,1,111113,dzoZ
113,ODYsMTAw,7.06,-95.1,35929,t,2020-05-03 20:52:23.337,1,866100000,8,5,71,4/5,125000,0,1,111114,zuy4
114,MTQ5LDEwMA==,9.32,-91.6,34968,t,2020-05-03 20:52:26.18,1,866900000,12,15,1032,4/5,125000,0,2,111112,tGqW
115,NTQsMTAw,8.48,-114.5,35099,t,2020-05-03 20:52:27.854,1,866900000,12,15,901,4/5,125000,0,2,111114,Vs4q
116,NjUsMTAw,10.1,-37.8,35960,t,2020-05-03 20:52:27.879,1,866100000,7,5,40,4/5,125000,0,1,111113,2w4v
117,NjMsMTAw,7.73,-74.7,35767,t,2020-05-03 20:52:31.753,1,866100000,10,15,233,4/5,125000,0,1,111112,3M7Q
118,MTAzLDEwMA==,9.44,-41.5,35918,t,2020-05-03 20:52:33.423,1,866100000,8,5,82,4/5,125000,0,1,111114,6srZ
119,OTEsMTAw,8.76,-42.9,35960,t,2020-05-03 20:52:33.465,1,866100000,7,5,40,4/5,125000,0,1,111113,h1QN
120,NjAsMTAw,7.93,-91.3,35505,t,2020-05-03 20:52:38.336,1,866100000,11,14,495,4/5,125000,0,1,111112,ytzT
121,OTQsMTAw,10.42,-69.5,35960,t,2020-05-03 20:52:38.456,1,866100000,7,6,40,4/5,125000,0,1,111114,ykMQ
122,NzksMTAw,8.75,-58.7,35960,t,2020-05-03 20:52:38.476,1,866100000,7,14,40,4/5,125000,0,1,111113,hMgq
123,ODIsMTAw,6.77,-113.9,35505,t,2020-05-03 20:52:43.344,1,866100000,11,14,495,4/5,125000,0,1,111112,YNAX
124,OTUsMTAw,10.87,-111.4,35960,t,2020-05-03 20:52:43.438,1,866100000,7,6,40,4/5,125000,0,1,111114,92Np
125,MTI1LDEwMA==,7.93,-73.8,35954,t,2020-05-03 20:52:43.481,1,866100000,7,14,46,4/5,125000,0,1,111113,x52i
126,MTUwLDEwMA==,8.08,-63.2,34968,t,2020-05-03 20:52:47.856,1,866900000,12,15,1032,4/5,125000,0,2,111112,obro
127,MTAxLDEwMA==,6.6,-106.7,35954,t,2020-05-03 20:52:48.49,1,866100000,7,14,46,4/5,125000,0,1,111113,3QoZ
128,OTQsMTAw,8.48,-87.5,35929,t,2020-05-03 20:52:49.01,1,866100000,8,5,71,4/5,125000,0,1,111114,GAyK
129,MTMyLDEwMA==,11.61,-81.8,35432,t,2020-05-03 20:52:53.435,1,866100000,11,14,568,4/5,125000,0,1,111112,BlXG
130,MTA3LDEwMA==,11.04,-50,35918,t,2020-05-03 20:52:54.014,1,866100000,8,5,82,4/5,125000,0,1,111114,yfOw
131,OTYsMTAw,11.08,-58.1,35960,t,2020-05-03 20:52:54.068,1,866100000,7,14,40,4/5,125000,0,1,111113,lNfY
132,NTQsMTAw,9.22,-106.9,35099,t,2020-05-03 20:52:58.583,1,866900000,12,15,901,4/5,125000,0,2,111113,X52I
133,MTQxLDEwMA==,10.95,-57.5,35432,t,2020-05-03 20:52:59.002,1,866100000,11,14,568,4/5,125000,0,1,111112,lTpX
134,MTA3LDEwMA==,10.36,-89.4,35918,t,2020-05-03 20:52:59.022,1,866100000,8,5,82,4/5,125000,0,1,111114,ow2Z
135,MTA4LDEwMA==,9.43,-68.7,35918,t,2020-05-03 20:53:04.029,1,866100000,8,5,82,4/5,125000,0,1,111114,vZmR
