id,protocol_ver,max_power,channels_num,duty_cycle_refresh,lora_protocol,lora_protocol_ver,transmission_param_id,stat_model
111104,STIOT v 1.01,14,8,00:43:59,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111106,STIOT v 1.01,14,8,00:43:59,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111116,STIOT v 1.01,14,8,00:43:12,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111110,STIOT v 1.01,14,8,00:51:52,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111121,STIOT v 1.01,14,8,00:52:03,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111122,STIOT v 1.01,14,8,00:52:04,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111123,STIOT v 1.01,14,8,00:52:05,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111124,STIOT v 1.01,14,8,00:52:06,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
111125,STIOT v 1.01,14,8,00:52:07,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
IIIIII,STIOT v 1.01,14,8,00:51:39,LoRa@FIIT,1.0,1,"[{""sf"": 7, ""pw"": 10, ""rw"": 1}, {""sf"": 7, ""pw"": 14, ""rw"": 1}, {""sf"": 8, ""pw"": 10, ""rw"": 1}, {""sf"": 8, ""pw"": 14, ""rw"": 1}, {""sf"": 9, ""pw"": 10, ""rw"": 1}, {""sf"": 9, ""pw"": 14, ""rw"": 1}, {""sf"": 10, ""pw"": 10, ""rw"": 1},  {""sf"": 10, ""pw"": 14, ""rw"": 1}, {""sf"": 11, ""pw"": 10, ""rw"": 1}, {""sf"": 11, ""pw"": 14, ""rw"": 1}, {""sf"": 12, ""pw"": 10, ""rw"": 1}, {""sf"": 12, ""pw"": 14, ""rw"": 1}]"
