id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,seq,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
92,NTQsMTAw,8.33,-51.3,35099,t,2020-04-14 20:55:33.859,1,866900000,12,15,901,4/5,125000,0,1,111116,0WFb
93,MTQ3LDEwMA==,10.87,-94.1,34968,t,2020-04-14 20:55:34.326,1,866900000,12,15,1032,4/5,125000,1,1,111120,t1Az
94,NTIsMTAw,6.6,-55.8,35099,t,2020-04-14 20:55:35.419,1,866900000,12,15,901,4/5,125000,2,1,111118,hVBI
95,NTEsMTAw,11.68,-38.9,35099,t,2020-04-14 20:55:35.585,1,866900000,12,15,901,4/5,125000,0,1,111115,wpmv
96,NTgsMTAw,8.49,-115,35099,t,2020-04-14 20:55:41.437,1,866900000,12,15,901,4/5,125000,0,1,111115,gpAg
97,NTcsMTAw,9.05,-94,35099,t,2020-04-14 20:55:44.603,1,866900000,12,15,901,4/5,125000,0,1,111116,4S0y
98,MTQ4LDEwMA==,6.57,-65.5,34968,t,2020-04-14 20:55:45.116,1,866900000,12,15,1032,4/5,125000,1,1,111119,4S0y
99,NTAsMTAw,6.99,-58.6,35099,t,2020-04-14 20:55:49.611,1,866900000,12,15,901,4/5,125000,0,1,111112,803f
100,MTQ5LDEwMA==,8.38,-76.9,34968,t,2020-04-14 20:55:50.638,1,866900000,12,15,1032,4/5,125000,0,1,111118,uJ5i
101,NTgsMTAw,8.53,-75.5,35099,t,2020-04-14 20:55:51.508,1,866900000,12,15,901,4/5,125000,1,1,111117,uJ5i
102,NTQsMTAw,10.67,-112,35099,t,2020-04-14 20:55:53.151,1,866900000,12,15,901,4/5,125000,1,1,111115,803f
103,NTMsMTAw,10.43,-73.9,35099,t,2020-04-14 20:55:53.219,1,866900000,12,15,901,4/5,125000,0,1,111112,zsgT
104,NTksMTAw,8.68,-75.1,35099,t,2020-04-14 20:55:56.631,1,866900000,12,15,901,4/5,125000,1,1,111114,zsgT
105,MTQ5LDEwMA==,7.6,-42.4,34968,t,2020-04-14 20:55:59.135,1,866900000,12,15,1032,4/5,125000,0,1,111118,3eyd
106,NTIsMTAw,11.08,-105.5,35099,t,2020-04-14 20:56:02.203,1,866900000,12,15,901,4/5,125000,0,1,111112,LKjL
107,NTcsMTAw,9.26,-42.8,35099,t,2020-04-14 20:56:02.425,1,866900000,12,15,901,4/5,125000,0,1,111118,fBr9
108,MTUwLDEwMA==,9.14,-70.9,34968,t,2020-04-14 20:56:03.043,1,866900000,12,15,1032,4/5,125000,2,1,111119,zsgT
109,MTQ3LDEwMA==,9.88,-82.3,34968,t,2020-04-14 20:56:03.215,1,866900000,12,15,1032,4/5,125000,1,1,111114,LKjL
110,NTksMTAw,7.58,-43.7,35099,t,2020-04-14 20:56:03.71,1,866900000,12,15,901,4/5,125000,0,1,111111,F9UP
111,MTQ3LDEwMA==,11.64,-105.6,34968,t,2020-04-14 20:56:03.828,1,866900000,12,15,1032,4/5,125000,2,1,111113,LKjL
112,NTYsMTAw,10.06,-93.3,35099,t,2020-04-14 20:56:04.821,1,866900000,12,15,901,4/5,125000,0,1,111111,ZLiV
113,MTQ3LDEwMA==,7.75,-60.7,34968,t,2020-04-14 20:56:11.014,1,866900000,12,15,1032,4/5,125000,1,1,111118,F9UP
114,NTcsMTAw,6.66,-62.7,35099,t,2020-04-14 20:56:14.168,1,866900000,12,15,901,4/5,125000,0,1,111111,MdOK
115,NTgsMTAw,8.4,-93,35099,t,2020-04-14 20:56:16.613,1,866900000,12,15,901,4/5,125000,0,1,111115,Lukr
116,NTgsMTAw,11.1,-103.5,35099,t,2020-04-14 20:56:18.829,1,866900000,12,15,901,4/5,125000,0,1,111115,IcMo
117,MTUwLDEwMA==,9.09,-89.3,34968,t,2020-04-14 20:56:19.177,1,866900000,12,15,1032,4/5,125000,1,1,111117,MdOK
118,NTEsMTAw,8.41,-90.6,35099,t,2020-04-14 20:56:21.889,1,866900000,12,15,901,4/5,125000,2,1,111120,MdOK
119,MTQ5LDEwMA==,10.77,-113.4,34968,t,2020-04-14 20:56:22.037,1,866900000,12,15,1032,4/5,125000,1,1,111116,Lukr
120,NTMsMTAw,11.31,-75.9,35099,t,2020-04-14 20:56:22.429,1,866900000,12,15,901,4/5,125000,2,1,111119,Lukr
121,NTUsMTAw,6.92,-92.1,35099,t,2020-04-14 20:56:33.964,1,866900000,12,15,901,4/5,125000,0,1,111116,e3MT
122,NTIsMTAw,8.49,-50.6,35099,t,2020-04-14 20:56:34.947,1,866900000,12,15,901,4/5,125000,0,1,111120,FR2S
123,NTAsMTAw,8.38,-53,35099,t,2020-04-14 20:56:40.904,1,866900000,12,15,901,4/5,125000,0,1,111116,D4GT
124,MTQ5LDEwMA==,8.45,-95.2,34968,t,2020-04-14 20:56:44.397,1,866900000,12,15,1032,4/5,125000,0,1,111118,5JTe
125,NTYsMTAw,10.37,-41.6,35099,t,2020-04-14 20:56:45,1,866900000,12,15,901,4/5,125000,0,1,111114,uydL
126,MTQ2LDEwMA==,9.05,-42.4,34968,t,2020-04-14 20:56:50.631,1,866900000,12,15,1032,4/5,125000,0,1,111111,tS1V
127,NTQsMTAw,11.27,-55.2,35099,t,2020-04-14 20:56:56.003,1,866900000,12,15,901,4/5,125000,0,1,111118,UDoQ
128,NTYsMTAw,8.64,-64.5,35099,t,2020-04-14 20:57:01.145,1,866900000,12,15,901,4/5,125000,1,1,111120,UDoQ
129,MTQ4LDEwMA==,9.22,-111.9,34968,t,2020-04-14 20:57:01.291,1,866900000,12,15,1032,4/5,125000,1,1,111117,tS1V
130,MTQ4LDEwMA==,9.82,-45.5,34968,t,2020-04-14 20:57:01.802,1,866900000,12,15,1032,4/5,125000,0,1,111113,pLNr
131,NTksMTAw,8.56,-68.5,35099,t,2020-04-14 20:57:07.63,1,866900000,12,15,901,4/5,125000,1,1,111118,pLNr
132,NTgsMTAw,8.11,-107.3,35099,t,2020-04-14 20:57:09.067,1,866900000,12,15,901,4/5,125000,0,1,111119,e0cN
133,NTAsMTAw,10.59,-96.5,35099,t,2020-04-14 20:57:09.758,1,866900000,12,15,901,4/5,125000,0,1,111117,5Igc
134,NTgsMTAw,10.1,-92.2,35099,t,2020-04-14 20:57:11.748,1,866900000,12,15,901,4/5,125000,0,1,111112,IxFU
135,NTcsMTAw,11.07,-36.2,35099,t,2020-04-14 20:57:11.896,1,866900000,12,15,901,4/5,125000,0,1,111118,3azV
136,MTQ4LDEwMA==,10.97,-68.5,34968,t,2020-04-14 20:57:19.336,1,866900000,12,15,1032,4/5,125000,0,1,111116,M6Mr
137,MTQ3LDEwMA==,7.79,-104.4,34968,t,2020-04-14 20:57:20.649,1,866900000,12,15,1032,4/5,125000,0,1,111119,FPSm
138,NTUsMTAw,11.2,-94.6,35099,t,2020-04-14 20:57:22.883,1,866900000,12,15,901,4/5,125000,0,1,111113,eksU
139,MTQ3LDEwMA==,7.14,-110,34968,t,2020-04-14 20:57:23.332,1,866900000,12,15,1032,4/5,125000,0,1,111112,6sZ1
140,NTQsMTAw,7.42,-113.7,35099,t,2020-04-14 20:57:23.716,1,866900000,12,15,901,4/5,125000,1,1,111111,eksU
141,NTYsMTAw,8.94,-72.8,35099,t,2020-04-14 20:57:24.257,1,866900000,12,15,901,4/5,125000,1,1,111114,6sZ1
142,NTUsMTAw,8.05,-67.2,35099,t,2020-04-14 20:57:30.918,1,866900000,12,15,901,4/5,125000,0,1,111116,gfq2
143,NTcsMTAw,8.34,-55.3,35099,t,2020-04-14 20:57:30.935,1,866900000,12,15,901,4/5,125000,2,1,111118,eksU
144,NTcsMTAw,9.09,-65.2,35099,t,2020-04-14 20:57:32.426,1,866900000,12,15,901,4/5,125000,3,1,111119,eksU
145,NTIsMTAw,9.41,-72.3,35099,t,2020-04-14 20:57:32.911,1,866900000,12,15,901,4/5,125000,1,1,111117,gfq2
146,NTAsMTAw,9.03,-106.3,35099,t,2020-04-14 20:57:35.839,1,866900000,12,15,901,4/5,125000,0,1,111114,3cDO
147,NTksMTAw,6.71,-84.9,35099,t,2020-04-14 20:57:36.056,1,866900000,12,15,901,4/5,125000,0,1,111117,FEwg
148,NTcsMTAw,7.77,-74.2,35099,t,2020-04-14 20:57:38.703,1,866900000,12,15,901,4/5,125000,0,1,111113,G5yk
149,NTcsMTAw,9.51,-74.1,35099,t,2020-04-14 20:57:39.044,1,866900000,12,15,901,4/5,125000,0,1,111113,AmbT
150,MTQ5LDEwMA==,9.53,-53.2,34968,t,2020-04-14 20:57:41.711,1,866900000,12,15,1032,4/5,125000,1,1,111117,3cDO
151,NTQsMTAw,10.39,-62.7,35099,t,2020-04-14 20:57:42.527,1,866900000,12,15,901,4/5,125000,0,1,111118,xJ1M
152,NTksMTAw,11.34,-101.5,35099,t,2020-04-14 20:57:43.013,1,866900000,12,15,901,4/5,125000,1,1,111120,xJ1M
153,NTgsMTAw,10.31,-59,35099,t,2020-04-14 20:57:44.05,1,866900000,12,15,901,4/5,125000,2,1,111119,xJ1M
154,NTYsMTAw,8.29,-99.4,35099,t,2020-04-14 20:57:44.411,1,866900000,12,15,901,4/5,125000,1,1,111120,AmbT
155,NTYsMTAw,8.48,-52.5,35099,t,2020-04-14 20:57:46.493,1,866900000,12,15,901,4/5,125000,0,1,111112,oMkY
156,MTUwLDEwMA==,11.29,-66.6,34968,t,2020-04-14 20:57:53.291,1,866900000,12,15,1032,4/5,125000,1,1,111117,oMkY
157,MTQ2LDEwMA==,6.51,-95.6,34968,t,2020-04-14 20:57:53.47,1,866900000,12,15,1032,4/5,125000,0,1,111115,NuYt
158,MTQ4LDEwMA==,9.78,-38.2,34968,t,2020-04-14 20:57:55.405,1,866900000,12,15,1032,4/5,125000,0,1,111116,Vt4R
159,NTcsMTAw,11.72,-105.2,35099,t,2020-04-14 20:57:56.017,1,866900000,12,15,901,4/5,125000,1,1,111120,Vt4R
