id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
66,"",[],34509,t,f,t,2020-04-14 20:54:47.574,866900000,12,15,901,4/5,125000,111116,Gjr8
67,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:48.37,866900000,12,15,901,4/5,125000,111117,H0y5
68,"","[{""sf"":9,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:48.46,866900000,12,15,901,4/5,125000,111116,vBGO
69,"","[{""sf"":8,""power"":11,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:51.984,866900000,12,15,901,4/5,125000,111117,vBGO
140,"",[],34509,t,f,t,2020-04-14 20:57:23.722,866900000,12,15,901,4/5,125000,111111,eksU
70,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:54:53.716,866900000,12,15,901,4/5,125000,111120,H0y5
71,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:54:55.937,866900000,12,15,1032,4/5,125000,111111,7lH1
72,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:54:58.035,866900000,12,15,1032,4/5,125000,111114,fcVB
73,"","[{""sf"":8,""power"":12,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:55:03.295,866900000,12,15,1032,4/5,125000,111112,jfGE
74,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:03.573,866900000,12,15,901,4/5,125000,111117,fcVB
75,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:55:04.34,866900000,12,15,1032,4/5,125000,111118,7lH1
76,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:05.145,866900000,12,15,901,4/5,125000,111119,fcVB
77,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:55:05.243,866900000,12,15,901,4/5,125000,111114,nSzI
