id,app_data,snr,rssi,duty_cycle_remaining,is_primary,receive_time,frequency,spf,power,airtime,coderate,bandwidth,msg_group_number,message_type_id,ap_id,node_id
72,NTksMTAw,8.63,-44.2,35960,t,2020-04-13 12:48:10.779,866900000,7,14,40,4/5,125000,0,1,111111,1XpN
73,OTUsMTAw,10.1,-62.4,35960,t,2020-04-13 12:48:21.394,866100000,7,11,40,4/5,125000,0,1,111111,uwOt
74,NzYsMTAw,9.84,-49.7,35960,t,2020-04-13 12:48:31.402,866100000,7,11,40,4/5,125000,0,1,111111,7Tfj
75,MTA0LDEwMA==,6.66,-115,35954,t,2020-04-13 12:48:41.423,866100000,7,11,46,4/5,125000,0,1,111111,Qdyg
76,MTQxLDEwMA==,10.71,-45.6,35954,t,2020-04-13 12:48:51.422,866100000,7,11,46,4/5,125000,0,1,111111,kwoZ
77,MTE1LDEwMA==,9.26,-77.3,35954,t,2020-04-13 12:49:01.425,866100000,7,11,46,4/5,125000,0,1,111111,hBgH
78,NzgsMTAw,10.85,-53.4,35960,t,2020-04-13 12:49:11.442,866100000,7,11,40,4/5,125000,0,1,111111,Z6qy
79,MTQzLDEwMA==,8.96,-56.1,35954,t,2020-04-13 12:49:21.444,866100000,7,11,46,4/5,125000,0,1,111111,TcGr
80,NjIsMTAw,11.2,-51.2,35960,t,2020-04-13 12:49:58.109,866100000,7,13,40,4/5,125000,0,1,111111,9SkO
81,MTMxLDEwMA==,8.06,-95.1,35954,t,2020-04-13 12:50:08.027,866100000,7,13,46,4/5,125000,0,1,111111,vGVa
82,NTgsMTAw,9.44,-99.2,35960,t,2020-04-13 12:50:18.043,866900000,7,14,40,4/5,125000,0,1,111111,wfU2
83,MTM4LDEwMA==,8.28,-92.1,35954,t,2020-04-13 12:50:28.685,866100000,7,13,46,4/5,125000,0,1,111111,zWMQ
84,MTEzLDEwMA==,6.86,-63.2,35954,t,2020-04-13 12:50:38.677,866100000,7,13,46,4/5,125000,0,1,111111,y90Y
85,NzYsMTAw,10.95,-68,35960,t,2020-04-13 12:50:48.671,866100000,7,13,40,4/5,125000,1,1,111111,f0jO
86,MTA0LDEwMA==,9.44,-73.5,35954,t,2020-04-13 12:50:58.681,866100000,7,13,46,4/5,125000,0,1,111111,HDfa
87,MTE4LDEwMA==,11.64,-60.4,35954,t,2020-04-13 12:51:08.695,866100000,7,13,46,4/5,125000,0,1,111111,3vF6
88,ODQsMTAw,7.81,-67.4,35960,t,2020-04-13 12:51:32.621,866100000,7,13,40,4/5,125000,0,1,111111,WRXV
89,MTA5LDEwMA==,8.32,-100.6,35954,t,2020-04-13 12:51:42.547,866100000,7,13,46,4/5,125000,0,1,111111,5GSf
90,OTAsMTAw,10.23,-92.4,35960,t,2020-04-13 12:51:54.06,866100000,7,13,40,4/5,125000,0,1,111111,WM2l
91,NzksMTAw,7.03,-111.8,35960,t,2020-04-13 12:52:02.755,866100000,7,13,40,4/5,125000,0,1,111111,btjb
92,MTE4LDEwMA==,9.35,-43.4,35954,t,2020-04-13 12:52:12.575,866100000,7,13,46,4/5,125000,0,1,111111,3bWx
93,NTIsMTAw,7.43,-71.5,35960,t,2020-04-13 12:52:22.604,866900000,7,14,40,4/5,125000,0,1,111111,XYOq
94,MTEyLDEwMA==,10.32,-60,35954,t,2020-04-13 12:52:33.24,866100000,7,13,46,4/5,125000,0,1,111111,p7NC
95,MTEzLDEwMA==,8.3,-79.7,35954,t,2020-04-13 12:52:43.255,866100000,7,13,46,4/5,125000,0,1,111111,ztly
96,NTIsMTAw,6.95,-81.7,35960,t,2020-04-13 12:52:53.257,866900000,7,14,40,4/5,125000,0,1,111111,g2PS
97,MTMyLDEwMA==,11.6,-81.3,35954,t,2020-04-13 12:53:03.882,866100000,7,13,46,4/5,125000,0,1,111111,gvBd
98,NTQsMTAw,7.71,-67.6,35960,t,2020-04-13 12:53:13.89,866900000,7,14,40,4/5,125000,0,1,111111,FuPl
99,NTIsMTAw,7.05,-110.3,35960,t,2020-04-13 12:53:24.514,866900000,7,14,40,4/5,125000,0,1,111111,iJS0
100,MTQ4LDEwMA==,10.1,-111.2,35954,t,2020-04-13 12:53:35.139,866900000,7,14,46,4/5,125000,0,1,111111,7Isl
101,NjAsMTAw,9.06,-55.7,35960,t,2020-04-13 12:53:40.389,866100000,7,13,40,4/5,125000,0,1,222222,MTlz
102,OTQsMTAw,10.11,-112.6,35929,t,2020-04-13 12:53:45.734,866100000,8,11,71,4/5,125000,0,1,111111,72pB
103,NTQsMTAw,9.91,-92.4,35960,t,2020-04-13 12:53:50.385,866900000,7,14,40,4/5,125000,0,1,222222,hQ5y
104,MTAyLDEwMA==,9.09,-79.4,35918,t,2020-04-13 12:53:55.751,866100000,8,11,82,4/5,125000,0,1,111111,gu0i
105,NjcsMTAw,10.19,-93,35960,t,2020-04-13 12:54:00.999,866100000,7,13,40,4/5,125000,0,1,222222,QFuE
106,MTAxLDEwMA==,11.13,-113.6,35918,t,2020-04-13 12:54:05.75,866100000,8,11,82,4/5,125000,0,1,111111,K9cb
107,NjYsMTAw,11.38,-92.4,35929,t,2020-04-13 12:54:15.763,866100000,8,11,71,4/5,125000,0,1,111111,a3aC
108,MTQ4LDEwMA==,9.57,-67.8,35954,t,2020-04-13 12:54:16.137,866900000,7,14,46,4/5,125000,0,1,333333,g7Oe
109,NjMsMTAw,7.56,-112.4,35960,t,2020-04-13 12:54:21.014,866100000,7,13,40,4/5,125000,0,1,222222,XsEu
110,MTE0LDEwMA==,6.79,-47.3,35918,t,2020-04-13 12:54:25.768,866100000,8,11,82,4/5,125000,0,1,111111,JJbe
111,MTA4LDEwMA==,9.38,-60.5,35853,t,2020-04-13 12:54:26.737,866100000,9,15,147,4/5,125000,0,1,333333,l9qD
112,NzYsMTAw,6.91,-106.7,35960,t,2020-04-13 12:54:31.02,866100000,7,13,40,4/5,125000,0,1,222222,5m38
113,MTIzLDEwMA==,11.24,-97.2,35954,t,2020-04-13 12:54:35.279,866100000,7,13,46,4/5,125000,0,1,444444,Ucfu
114,NTEsMTAw,11.67,-47.1,35960,t,2020-04-13 12:54:35.783,866900000,7,14,40,4/5,125000,0,1,111111,R8pO
115,ODUsMTAw,8.98,-94.9,35872,t,2020-04-13 12:54:36.758,866100000,9,15,128,4/5,125000,0,1,333333,v7yR
116,OTcsMTAw,10.5,-68.6,35960,t,2020-04-13 12:54:41.035,866100000,7,13,40,4/5,125000,0,1,222222,oxxD
117,NjcsMTAw,11.29,-90,35960,t,2020-04-13 12:54:45.288,866100000,7,13,40,4/5,125000,0,1,444444,xGaO
118,MTM1LDEwMA==,9.97,-64.1,35954,t,2020-04-13 12:54:46.382,866100000,7,11,46,4/5,125000,0,1,111111,K7Y0
119,OTgsMTAw,6.92,-107.2,35872,t,2020-04-13 12:54:46.758,866100000,9,15,128,4/5,125000,0,1,333333,XHYw
120,MTA5LDEwMA==,6.56,-77.9,35954,t,2020-04-13 12:54:49.94,866100000,7,13,46,4/5,125000,0,1,555555,Acnt
121,NTgsMTAw,9.65,-47.7,35960,t,2020-04-13 12:54:51.042,866900000,7,14,40,4/5,125000,0,1,222222,gUHl
