id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,ap_id,node_id
1604,"","[{""sf"":9,""power"":12,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:10:10.728,111111,tlFe
1605,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:10:15.236,222222,KjD4
1606,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:10:16.259,555555,1VyA
1607,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:10:16.393,666666,j67J
1608,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:10:28.924,333333,FzCG
1609,"",[],3207,t,f,t,2020-04-11 00:10:36.434,444444,7SiR
1610,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:10:37.059,666666,guB6
1611,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:11:07.15,555555,cQQI
1612,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:11:08.147,888888,WMDm
1613,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:11:16.062,222222,GA4Q
1614,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:11:17.903,666666,Vt4R
1615,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:11:18.735,888888,MsRh
1616,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:11:21.591,111111,GA4Q
1617,"","[{""sf"":11,""power"":13,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:11:26.481,000000,g7Bl
1618,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:11:26.663,222222,1XpN
1619,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:11:28.91,999999,f9sA
1620,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:11:28.923,777777,blt7
1621,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:11:37.178,000000,1XbF
1622,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:11:52.414,111111,FFn8
1623,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:12:07.175,444444,3ZUv
1624,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:12:07.959,555555,4m9Y
1625,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:12:27.947,444444,fkpJ
1626,"","[{""sf"":11,""power"":13,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:12:48.29,000000,f0jO
1627,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:12:48.667,444444,BrIj
1628,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:12:48.76,666666,0zyq
1629,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:12:53.249,111111,zykj
1630,"",[],3028,t,f,t,2020-04-11 00:12:58.665,555555,Pg5x
1631,"",[],3207,t,f,t,2020-04-11 00:12:58.879,000000,SuDT
1632,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:13:12.412,888888,t2EN
1633,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:13:13.209,000000,talY
1634,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:13:27.356,222222,Xq78
1635,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:13:39.606,999999,oGk1
1636,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:13:39.619,777777,KjD4
1637,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:13:59.802,333333,JUtc
1638,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:14:00.394,999999,eaFM
1639,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:14:09.461,444444,ozBN
1640,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:14:10.486,333333,0zyq
1641,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:14:19.475,666666,nXzc
1642,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:14:21.202,999999,aKMV
1643,"",[],3207,t,f,t,2020-04-11 00:14:21.216,333333,bBS2
1644,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:14:32.069,999999,jLFz
1645,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:14:34.039,000000,jPTf
1646,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:14:40.138,666666,GhPI
1647,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:14:43.235,888888,BrIj
1648,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:14:50.079,444444,silc
1649,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:14:50.916,666666,mync
1650,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:14:52.028,333333,5J5X
1651,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:15:01.807,666666,p7NC
1652,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:15:02.818,333333,Or2Y
1653,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:15:12.689,999999,yO4A
1654,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:15:14.054,111111,bCZg
1655,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:15:32.579,666666,ydm3
